Tweets,Relevance
"Thu Jun 04 19:30:00 +0000 2015  Pls report cave-in location to   MT ""Sinkhole at 1114- 51 st  &amp; 5015 11 Ave""",Non-Relevant
"Thu Jun 04 19:02:25 +0000 2015  Please feel free to contact DOT's Accessibility Coordinator regarding your inquiry, here's how:",Non-Relevant
Thu Jun 04 18:53:13 +0000 2015 Check out our table at today's   More pics here:  ,Non-Relevant
"Thu Jun 04 18:01:03 +0000 2015 Join DOT,   for another  on 6/6, 11am-2:30pm at Socrates Sculpture Park in  ",Non-Relevant
Thu Jun 04 16:04:35 +0000 2015  Please contact the  regarding parking enforcement in Jackson Heights,Non-Relevant
Thu Jun 04 16:01:44 +0000 2015 Looking forward to  Young Audiences NY Day at  Fri 6/5 5-8pm w/   ,Non-Relevant
Thu Jun 04 15:43:45 +0000 2015   Please call  to report an issue with a City vehicle. Report non-emergency illegal parking,Non-Relevant
Thu Jun 04 15:32:31 +0000 2015  Pls check your SR# with  at  for more info or contact DOT Boro Comm,Non-Relevant
Thu Jun 04 15:27:20 +0000 2015  Pls contact  to report a complaint with crew/contractor.,Non-Relevant
Thu Jun 04 13:45:07 +0000 2015  -  rules are in effect today. Please follow  for daily tweets about ASP.,Non-Relevant
Thu Jun 04 13:36:03 +0000 2015    In NYC you can DM  to report pothole location or use the free 311 app!,Non-Relevant
Thu Jun 04 13:31:14 +0000 2015  Please report to  online here:  Thx!,Non-Relevant
"Wed Jun 03 21:28:02 +0000 2015  You found it!  If you have specific questions, you may contact the DOT Boro Comm office:",Non-Relevant
Wed Jun 03 21:25:20 +0000 2015    If you are applying to work for  you need to contact them for info. NYCDOT info here:,Non-Relevant
Wed Jun 03 21:10:05 +0000 2015    What type of application are you referring to?,Non-Relevant
Wed Jun 03 19:19:10 +0000 2015  Please report pothole or street surface complaint to  here:  Thank you,Non-Relevant
Wed Jun 03 15:10:38 +0000 2015 TONIGHT  workshop for  /  6:30pm   ,Non-Relevant
"Tue Jun 02 17:20:19 +0000 2015  Pls report a muni-meter problem to  via their free app or online, along with the meter number. Thx!",Non-Relevant
"Tue Jun 02 15:01:53 +0000 2015  eastbound left and center lanes closed, one night only 6/3 or 6/4 11pm-5am",Relevant
Tue Jun 02 14:25:07 +0000 2015  Smoking is not permitted on the  Please notify NYPD if you see someone smoking on the boat. Thanks,Non-Relevant
Tue Jun 02 14:22:59 +0000 2015   Please contact  for updates on the  resurfacing project at this location,Non-Relevant
Tue Jun 02 13:51:54 +0000 2015  Please report the location of faded bike lane markings to  here:,Non-Relevant
Tue Jun 02 13:50:22 +0000 2015  Pls call  to report the location of the park's light pole; they will contact the appropriate agency for repair/more info.,Non-Relevant
"Tue Jun 02 13:46:39 +0000 2015   Sorry to hear that you had trouble.  No appt needed for free helmet fittings, just attend an event",Non-Relevant
Mon Jun 01 21:30:51 +0000 2015 We've got a ton of  fittings and  this summer! Check FB to see more:  ,Non-Relevant
Mon Jun 01 21:02:33 +0000 2015 Happening this week:  Rehabilitation Project update (also posted on  ,Non-Relevant
"Mon Jun 01 20:20:28 +0000 2015  northbound lane closures from E. 81st St to E. 90th St thru 7/31, Mon-Thurs 11pm-5:30am, Sat 12:01am-6:30am",Relevant
Mon Jun 01 20:05:39 +0000 2015   Please share your transportation suggestions with DOT's Boro Comm office:,Non-Relevant
Mon Jun 01 18:01:21 +0000 2015 CityBenches installed last Thurs at the new public space at Columbia Greenway in Red Hook/Cobble Hill!  ,Non-Relevant
Mon Jun 01 17:42:04 +0000 2015 The plan will also fund DOT projects to greatly expanded citywide sidewalk repair program &amp; expand our street resurfacing program.,Non-Relevant
"Mon Jun 01 17:39:54 +0000 2015 Mayor's plan funds remarkable projects: reconstruction of BQE Triple Cantilever,   Initiative, key road recon.,",Non-Relevant
Mon Jun 01 17:33:28 +0000 2015 Comm Trottenberg speaks with  today regarding FY16 budget proposal &amp; 10 Year Capital Plan,Non-Relevant
Mon Jun 01 14:45:30 +0000 2015 Save the date for our   event for  CB12 tomorrow 6/2 6-8pm  ,Non-Relevant
"Mon Jun 01 14:01:57 +0000 2015 Baby on the way? Free  checks  Access Safety City in  on 6/5, 6/12, 7/1, 7/10! Call (212)839-4750 to set up an appt.",Non-Relevant
Mon Jun 01 13:33:05 +0000 2015  Pls report this condition to  so that the appropriate agency is notified.,Non-Relevant
Sun May 31 19:45:47 +0000 2015 The Staten Island Ferry is owned and operated by the City of New York and the service provided is free of charge for all passengers.,Non-Relevant
Sun May 31 16:30:43 +0000 2015    on 6/6 w/     ,Non-Relevant
"Sun May 31 14:56:21 +0000 2015  Regulations vary by location, posted on signs/meters.  ",Non-Relevant
"Fri May 29 20:13:18 +0000 2015  If for repair/construction this permit mapping tool could help  If special event, check w- local precinct",Non-Relevant
"Fri May 29 20:01:23 +0000 2015  sidewalk &amp; one lane closed, two nights only: one direction per night 6/1 and 6/3, 11pm-5am",Non-Relevant
Fri May 29 16:31:04 +0000 2015 Free bike helmet fittings at   5/30w     ,Non-Relevant
Fri May 29 16:15:58 +0000 2015  Please contact the Queens Borough Commissioner's Office directly  regarding the placement of signage.,Non-Relevant
"Fri May 29 16:15:02 +0000 2015  Apologies for providing Lower Manhattan contact, here is the correct e-mail:",Non-Relevant
Fri May 29 16:13:05 +0000 2015  Please contact the MN Boro Commissioner with suggestions for a turning lane.,Non-Relevant
Fri May 29 16:11:51 +0000 2015 Great news! Little Bay Park Greenway opens today. Congratulations  and thanks for sharing this first photo:,Non-Relevant
Fri May 29 15:47:58 +0000 2015  Markings are being installed on Lafayette and the bike lane will return.,Non-Relevant
"Fri May 29 15:34:44 +0000 2015   This greenway is a  property. Perhaps they, or  would be able to answer your question.",Non-Relevant
"Fri May 29 15:26:48 +0000 2015  For safety, Call 911 to report dangerous driving in progress. To report DOT employee behavior:",Non-Relevant
Fri May 29 15:19:36 +0000 2015  Check status of 311 service request at  or contact a DOT Boro Commissioner:,Non-Relevant
Fri May 29 15:05:09 +0000 2015  Overnight MN-bound closures FRI 5/29 &amp; SAT 5/30. No closure SUN 5/31. Weekday overnight closures will resume MON 6/1.,Relevant
Fri May 29 14:05:23 +0000 2015  Thank you for sharing your concern. Please contact DOT's BK Boro Commissioner,Non-Relevant
Fri May 29 13:47:33 +0000 2015   Program is DOT-Partnership based. Learn more here:,Non-Relevant
Thu May 28 20:01:36 +0000 2015  workshop for  /  on 6/3 at 6:30pm   ,Non-Relevant
Thu May 28 20:01:30 +0000 2015 Meeting Tonight: Open House on  on   along in  ,Non-Relevant
Thu May 28 18:39:15 +0000 2015 The first  has arrived at 184 Duane Street in  Come sit and hang out on the turf!,Non-Relevant
Thu May 28 16:22:50 +0000 2015 Work along  Avenue and the Greenpoint Avenue Bridge started this week. Updates on Facebook:,Non-Relevant
Thu May 28 16:01:58 +0000 2015   Thank you for this suggestion. Please share with DOT's Brooklyn Borough Commissioner:,Non-Relevant
Thu May 28 14:53:35 +0000 2015   Here's the  form:  Please report so request can be properly tracked/routed. Thanks!,Non-Relevant
Thu May 28 13:18:01 +0000 2015  Please contact our MN Borough Commissioner via e-mail  to share this concern.,Non-Relevant
Wed May 27 23:27:10 +0000 2015 Thanks to those participating in tonight's  Open House on  Q44 at  ,Non-Relevant
"Wed May 27 22:21:02 +0000 2015  Please report power lines (including low hanging, dangling) to Con Edison, Info here:",Non-Relevant
Wed May 27 22:13:33 +0000 2015     Please report locations online  or Direct Message,Non-Relevant
"Wed May 27 20:00:59 +0000 2015 Manhattan parents: Free  check  5/28, 4pm-7pm. Call (212)839-4750 to set up an appt.  ",Non-Relevant
"Wed May 27 18:57:36 +0000 2015 Due to earlier mechanical difficulty,  will continue to operate on a modified schedule (every 20 min) during today's PM rush hour.",Non-Relevant
"Wed May 27 18:01:30 +0000 2015  routine monthly testing, intermittent 15-min full bridge closures, 5/28 10am-2pm",Non-Relevant
"Wed May 27 15:30:46 +0000 2015  closed two weeknights only between 5/28 and 6/4, 9pm-5am",Relevant
Wed May 27 14:30:57 +0000 2015 Meeting Tonight: Open House on  on  Q44 along Main St in Flushing  ,Non-Relevant
Wed May 27 02:59:37 +0000 2015 Due to mechanical difficulty the  will operate on a modified schedule (boats approx every 20 min) during am rush hour WED 5/27,Non-Relevant
Tue May 26 21:53:31 +0000 2015 Due to a mechanical difficulty the  is operating on a modified schedule during this evenings rush hour.,Non-Relevant
"Tue May 26 21:15:28 +0000 2015 Free  checks  77 Harrison St in  on 6/2, 6/11, 7/7, 7/16! Contact (212)839-4750 to set up an appt.",Non-Relevant
Tue May 26 20:29:40 +0000 2015  Please contact  operators of the GWB. Info here:,Non-Relevant
Tue May 26 20:12:02 +0000 2015  education will be on  tomorrow with . . Excited to bring  to New Dorp HS,Non-Relevant
"Tue May 26 20:00:53 +0000 2015  two lane closures eastbound or westbound twice a week thru 7/31, 12:01am-5am",Relevant
"Tue May 26 18:31:07 +0000 2015  northbound ramp to  right lane closed one night only, 5/27 10pm-5am 5/28",Relevant
Tue May 26 18:09:09 +0000 2015 DOT installs  relief stand on Ave A &amp; E Houston!,Non-Relevant
Tue May 26 17:45:41 +0000 2015  workshop for Qns CB12 area in  (see map) on 6/2  ,Non-Relevant
Tue May 26 17:23:38 +0000 2015 Happy 2nd Anniversary  ,Non-Relevant
Tue May 26 16:46:02 +0000 2015    This action can be reported and tracked using this form:,Non-Relevant
Tue May 26 14:15:33 +0000 2015 Discuss   route from  to  &amp;  on 5/28 6-8pm  Jamaica LIRR w/us &amp;  ,Non-Relevant
Mon May 25 19:25:20 +0000 2015 Join us &amp;  to discuss st design &amp; bus stops for  SBS on  5/27  ,Non-Relevant
Mon May 25 16:15:45 +0000 2015  5/30 St Mary's Playground  w     ,Non-Relevant
"Mon May 25 13:30:58 +0000 2015  parents: Free  checks  Rosedale Municipal Parking Lot on 5/27, 6/9, 6/24! Call 212-839-4750 for an appt.",Non-Relevant
Mon May 25 12:54:26 +0000 2015  We apologize for the confusion. Meters are not in effect.,Non-Relevant
Mon May 25 12:54:10 +0000 2015  We apologize for the confusion. Meters are not in effect.,Non-Relevant
Mon May 25 12:42:08 +0000 2015 Correction:  and meters are suspended in recognition of Memorial Day.,Non-Relevant
Fri May 22 19:26:53 +0000 2015 RT  Juan Morel Campos students took  to heart &amp; debuted a new  street sign!,Non-Relevant
Fri May 22 18:20:35 +0000 2015 Want  in your neighborhood? Come by our workshop for Qns CB12! 6/2 at The Harvest Room  ,Non-Relevant
"Fri May 22 18:12:42 +0000 2015  suspended Monday 5/25 for Memorial Day and Shavuot. Because Memorial Day is a major legal holiday, meters are also suspended.",Non-Relevant
Fri May 22 17:50:14 +0000 2015 . is looking for you! Apply now for the  Fellowship:  ,Non-Relevant
Fri May 22 17:15:30 +0000 2015 Ride the  ? Join us &amp;  to discuss st design &amp; bus stops for Q44 SBS 5/27 6-8pm  Flushing Town Hall  ,Non-Relevant
"Fri May 22 15:10:34 +0000 2015 Weekend Bridge/Street Closures May 22-25, 2015:  Sign up for e-mail traffic advisories:",Relevant
"Fri May 22 15:03:45 +0000 2015 Due to Memorial Day holiday, there will be no closures on the  this wknd. Overnight closures resume 5/26.",Relevant
Fri May 22 14:01:04 +0000 2015  under ramp to  southbound lane closure 5/23 from 12:01am-5am,Relevant
Fri May 22 13:47:30 +0000 2015   We aim for 50+ corridors/intersections redesigned each yr under  Projects posted:,Non-Relevant
Fri May 22 13:36:15 +0000 2015  Conference materials can be found here:  or feel free to email the team at MobilityManagement,Non-Relevant
Fri May 22 00:53:51 +0000 2015  Please use the form provided to make a request. Crews will move throughout the City all spring/summer.,Non-Relevant
Fri May 22 00:44:43 +0000 2015   Our weekly schedule posted here:  or report resurfacing needs at:,Non-Relevant
Fri May 22 00:42:46 +0000 2015  Our weekly schedule posted here:  or report resurfacing needs at:,Non-Relevant
Fri May 22 00:35:23 +0000 2015  Traffic agents are part of NYPD. We suggest reaching out to the precinct.,Non-Relevant
Fri May 22 00:11:46 +0000 2015  Share location with DOT on  or DM,Non-Relevant
Fri May 22 00:08:10 +0000 2015  Our weekly schedule posted here:  or report resurfacing needs at:,Non-Relevant
Fri May 22 00:05:38 +0000 2015  Check out  or our mill &amp; pave video   (no character limits),Non-Relevant
Thu May 21 23:56:28 +0000 2015  Please consider calling the permit office at 718-433-3100 or TTY 212-504-4115 during business hours.,Non-Relevant
Thu May 21 23:53:04 +0000 2015  Please report traffic signal issues by calling  staffed 24/7 to take all necessary info about the problem.,Non-Relevant
Thu May 21 23:47:10 +0000 2015  This can be reported here:  so correct crew/contractor can be notified.,Non-Relevant
Thu May 21 22:48:40 +0000 2015 The latest on  Warmy is thrilled we'll,Non-Relevant
have more funding to  more  ,Non-Relevant
Thu May 21 20:58:17 +0000 2015 Coordinators Denise Ramrez and Staci Haber wrap up the Mobility Management Conference!   ,Non-Relevant
"Thu May 21 20:45:25 +0000 2015 Free   check  Canarsie Municipal Parking Lot on 5/26, 6/23, 7/28, 8/25. Set up appt  212-839-4750.",Non-Relevant
"Thu May 21 19:57:57 +0000 2015 Panelists Cordell Schachter, Susan Bregman, Sarah Kaufman, Christopher Widelo discuss inclusive technology  ",Non-Relevant
Thu May 21 19:10:38 +0000 2015 Reminder: Free bike helmet fitting/distribution 5/23 in  w/    ,Non-Relevant
"Thu May 21 18:47:15 +0000 2015 Thomas A. Panek, CEO of  spoke abt overcoming issues of mobility for the blind in keynote address  ",Non-Relevant
Thu May 21 17:59:54 +0000 2015 Eric Miu (DOT) and Steve Garcia (DOE) led two of  guided tours abt  Safety Ed and Travel Training,Non-Relevant
Thu May 21 17:05:24 +0000 2015 TONIGHT  workshop  /  6:30pm  Knights of Columbus   ,Non-Relevant
"Thu May 21 16:15:05 +0000 2015  is a combination of two things:  &amp;  NYC has two asphalt plants producing asphalt day and night, year round.",Non-Relevant
"Thu May 21 16:05:10 +0000 2015  is the process of removing the old road's surface, leaving the curbs, utility's hardware, and driveways before  a road.",Non-Relevant
"Thu May 21 16:00:02 +0000 2015 Potholes form due to the freeze-thaw cycles, when snow melts. Report pothole location to  via DM or free app...",Non-Relevant
Thu May 21 15:55:08 +0000 2015 Resurfacing   btn  &amp;  w/ help from    ,Non-Relevant
Thu May 21 15:50:18 +0000 2015 Learn how NYC repairs and resurfaces our city's roads in our  and  video:,Non-Relevant
Thu May 21 15:45:07 +0000 2015  lends a hand to  by increasing funding for 20% more  lane miles in FY 2016.,Non-Relevant
Thu May 21 15:40:13 +0000 2015 TodayComm Trottenberg announced expanded  program to improve  citywide,Non-Relevant
"Thu May 21 15:37:26 +0000 2015 Dwight Mengel  Chris Brunson (DOT), Steve Fittante  Aimee Gauthier  on First/Last Mile",Non-Relevant
Thu May 21 14:27:21 +0000 2015  Commissioner Victor Calise talks  for people with disabilities in NYC  ,Non-Relevant
Thu May 21 13:51:48 +0000 2015 The Mobility Management Conference is underway!  ,Non-Relevant
Thu May 21 12:55:18 +0000 2015 Joining us for the 3rd Annual Mobility Management Conference? Please join the social convo &amp; use  to share your thoughts/pics!,Non-Relevant
Wed May 20 23:15:19 +0000 2015  from  to  late night lane closures 10pm-5am on occasional weeknights thru 6/12,Relevant
"Wed May 20 22:30:27 +0000 2015 Make sure your kids are safe! Free  checks   Safety City on 5/22, 6/8, 6/26. Call 212-839-4750 to set up appt.",Non-Relevant
Wed May 20 20:04:37 +0000 2015 We're so excited for tomorrow's  Mobility Management Conference! Follow us here for updates,Non-Relevant
Wed May 20 19:35:18 +0000 2015 The beautiful  has 11  miles!    ,Non-Relevant
"Wed May 20 17:05:27 +0000 2015 Over 3,000 people cycle the   lane. Celebrate NYC's  with us today!   ",Non-Relevant
"Wed May 20 15:40:17 +0000 2015 Ride the waterfront! Join the 10,000+ cyclists who bike along    ",Non-Relevant
Wed May 20 15:00:49 +0000 2015   311 accepts many service requests via DM i.e. DM  to report pothole or street light! Thx,Non-Relevant
Wed May 20 14:56:47 +0000 2015  Pls request resurfacing with   and report faded lane markings to  ,Non-Relevant
Wed May 20 14:15:27 +0000 2015 Enjoy the  with continuous  paths along over 5 miles of the    ,Non-Relevant
Wed May 20 12:30:23 +0000 2015 Today we celebrate NYC's 520 miles of waterfront!  carries 22 million passengers each year!  ,Non-Relevant
"Wed May 20 12:13:50 +0000 2015  Pls report sunken catch basin to  to alert    MT ""Bronx 10460.. Prospect Ave/Garden St""",Non-Relevant
Tue May 19 21:19:42 +0000 2015   At this time there is no wireless component to the LEDs.,Non-Relevant
"Tue May 19 20:56:36 +0000 2015   Pls report cave in to  MT ""Massive hole at 104th street and Broadway""  ",Non-Relevant
Tue May 19 18:30:57 +0000 2015  workshop for  /  5/21 6:30pm  Knights of Columbus   ,Non-Relevant
"Tue May 19 17:42:50 +0000 2015  Sure is, 2015  map can be found here:",Non-Relevant
"Tue May 19 17:36:42 +0000 2015 Duck, duck  /  on  !  (thanks for the catch,   !)",Non-Relevant
Tue May 19 16:24:33 +0000 2015   to/from   ,Non-Relevant
barrier install planned for next month!  ,Non-Relevant
Tue May 19 11:11:44 +0000 2015 As a result of fog the Staten Island Ferry will be operating on a modified schedule during this mornings rush hour.,Non-Relevant
"Mon May 18 21:34:26 +0000 2015  To facilitate Battery Park Underpass restoration, expect overnight single lane closures 10pm-5am from FDR to Route 9A, thru 5/22",Non-Relevant
Mon May 18 21:25:04 +0000 2015 Reconstruction of  updates available in  May/June 2015 newsletter:,Non-Relevant
Mon May 18 18:36:47 +0000 2015 Weekdays 8am-2pm   path under  viaduct closed intermittently. Pls dismount &amp; walk ped path,Non-Relevant
Mon May 18 17:33:23 +0000 2015  You may file a complaint about the ferry here:,Non-Relevant
Mon May 18 17:25:23 +0000 2015  Pls feel free to share your suggestion with DOT here:,Non-Relevant
"Mon May 18 17:14:34 +0000 2015  Pls report road in need of repair to  : Potholes via DM or 311 app, Street Resurfacing request",Non-Relevant
Mon May 18 17:10:56 +0000 2015  Here's the low bridges map for Manhattan:  More info here:,Non-Relevant
Mon May 18 16:05:25 +0000 2015 Free bike helmets at our 5/23 fitting in  w/    ,Non-Relevant
Mon May 18 15:21:20 +0000 2015  reveals colorful new art in  St Tunnel by 4 artists &amp; 1 artist-team + new LED lights  ,Non-Relevant
Mon May 18 14:52:45 +0000 2015 About to speak about the beautification for the  st Tunnel.     ,Non-Relevant
Mon May 18 12:54:17 +0000 2015 Here's another sneak peek at the new  in the  St Tunnel!  ,Non-Relevant
Mon May 18 12:34:52 +0000 2015 We cannot wait to show you the progress in the  St Tunnel! Here's a sneak peek from last week  ,Non-Relevant
Fri May 15 18:23:12 +0000 2015 You know summers on the way when  are being assembled! This location will be open Monday on  ,Non-Relevant
Fri May 15 18:09:11 +0000 2015 Spring cleaning for  begins today! Traffic lanes &amp; ped/bike paths may be partially closed at times,Non-Relevant
"Fri May 15 17:53:02 +0000 2015 Update: Brighter, greener LED lights are headed to  90th-111th St in  with  ",Non-Relevant
"Fri May 15 17:39:55 +0000 2015 Brighter, greener LED lights are headed to  from 90th-111th St in  with  ",Non-Relevant
Fri May 15 15:52:40 +0000 2015  Call  to report an issue with a City vehicle. Report non-emergency illegal parking:,Non-Relevant
"Fri May 15 15:07:35 +0000 2015 Weekend Bridge/Street Closures May 16-17, 2015:  Like this info? Sign up for weekly DOT updates",Relevant
Fri May 15 14:37:13 +0000 2015    Pls share your suggestions with the community construction liaison at  em: forsythplzccl,Non-Relevant
Fri May 15 14:33:18 +0000 2015   project is managed by  - details and contact info available here:,Non-Relevant
Fri May 15 13:30:44 +0000 2015 Reminder  33-hour Mn-bd closure Sat 5/16 12:01am to 5/17 9am. Consider taking Manhattan/Williamsburg Bridge,Relevant
"Fri May 15 12:01:03 +0000 2015 Reminder: We're revamping  Street Tunnel! Please note that the tunnel will be closing today at 10:30am, reopening Tues 5/19 at 5am.",Non-Relevant
Thu May 14 21:00:40 +0000 2015  2 crosswalk types: Standard (your pic) &amp; high visibility paralleling traffic. Hi vis used around schools+where deemed appropriate,Non-Relevant
Thu May 14 20:15:28 +0000 2015  65th St Transverse closed on 5/16 from 12:01am to 6am. Use adjacent transverses as alt route,Non-Relevant
Thu May 14 20:10:09 +0000 2015   Pls report faded line marking location to  via phone 311 or form,Non-Relevant
Thu May 14 20:06:00 +0000 2015  Contractor's program manager was notified. If you have add'l feedback pls contact brooklynbridgeoutreach,Non-Relevant
Thu May 14 19:30:26 +0000 2015 Note: street closures for Friday May 15. Stay informed with traffic advisory email alerts!  ,Non-Relevant
Thu May 14 19:27:01 +0000 2015       Pls apply!  app here:,Non-Relevant
Thu May 14 19:05:35 +0000 2015 Discuss   route from  to  &amp;  w/us &amp;  on 5/28  ,Non-Relevant
Thu May 14 19:01:28 +0000 2015  under  St. painting rescheduled for 5/18-6/18. Expect early AM lane closures (12:01-5am),Non-Relevant
Thu May 14 17:55:14 +0000 2015 Reminder: Free bike helmet fitting/distribution Sat 5/16 in    ,Non-Relevant
"Thu May 14 17:15:30 +0000 2015  over  - Bridge closure BOTH directions on Sat 5/16, 5/30 &amp; 6/6 7am-1pm",Relevant
Thu May 14 16:55:26 +0000 2015  Please feel free to share your suggestions with DOT's Commissioner here:,Non-Relevant
Thu May 14 14:25:00 +0000 2015  pls report sign location to  via DM or their app. Thx,Non-Relevant
Thu May 14 14:15:45 +0000 2015 Learn how you can help your neighborhood be cleaner and greener via     ,Non-Relevant
Thu May 14 14:10:03 +0000 2015   with  program. This block sponsored by   ,Non-Relevant
Wed May 13 21:56:03 +0000 2015 QNS Boro Commissioner Garcia &amp; BP Katz unveil new Rosedale traffic signal with community leaders &amp; children,Non-Relevant
Wed May 13 20:57:18 +0000 2015    Hi there! The direct link to download the NYC bike route dataset is avaialble here,Non-Relevant
"Wed May 13 19:04:09 +0000 2015 The  sure looks lovely! Nice pic, black_soap via    ",Non-Relevant
Wed May 13 17:23:06 +0000 2015 UPDATE 191st Street Tunnel to 1 subway station will be closed Fri 5/15 10:30AM to Tue 5/19 5AM   ,Non-Relevant
"Wed May 13 16:40:22 +0000 2015  Thx. Hopefully  can help route that to the correct dept, as this is a construction site, not a missing street sign",Non-Relevant
Wed May 13 16:24:35 +0000 2015  Pls report this location to  so they may notify contractor. Call 311 or report online here:,Non-Relevant
Wed May 13 16:05:37 +0000 2015  over  will be closed May 15 12:01am-4am for routine testing.,Relevant
Wed May 13 16:01:14 +0000 2015  early morning intermittent closures for swing span operations training 5/15-5/23 2am-5am,Relevant
Wed May 13 15:41:29 +0000 2015  Pls report location of failed street repair to  here:,Non-Relevant
Wed May 13 14:59:34 +0000 2015  Pls contact  to request resurfacing for this location:,Non-Relevant
Wed May 13 14:57:05 +0000 2015   Please contact your DOT Boro Commissioner's office:  or your local community board.,Non-Relevant
Wed May 13 14:56:07 +0000 2015     You may find the weekly resurfacing schedule on our website:,Non-Relevant
Wed May 13 14:53:04 +0000 2015 Today   gave  info to commuters     ,Non-Relevant
Wed May 13 14:31:04 +0000 2015  suspended Thurs 5/14 for Solemnity of the Ascension. Meters remain in effect. Follow  for daily updates.,Non-Relevant
Wed May 13 14:02:07 +0000 2015 TONIGHT  workshop for  /  6:30pm at Old Mill Yacht Club   ,Non-Relevant
"Wed May 13 13:45:29 +0000 2015  daytime bridge closures for 15min periods Thurs 5/14, 10:30am-12:01pm for swing span inspection",Relevant
Wed May 13 13:45:16 +0000 2015 Progress at  Sidewalks widened at bus stops to accommodate curbside access. Coming soon  ,Non-Relevant
Wed May 13 00:17:28 +0000 2015 Good news! CB3 TranspoCmte voted for taxi relief stand AveA btn EHouston &amp; 1st St by  We will be installing one soon!,Non-Relevant
Tue May 12 18:45:16 +0000 2015 Helmets for all ages at Sat's  fitting/giveaway at Thomas Jefferson Rec Park   ,Non-Relevant
"Tue May 12 18:39:22 +0000 2015 Love this new video about the new   lane on  St! Thx,   ",Non-Relevant
Tue May 12 15:37:39 +0000 2015  Bedell Street between Meyer Ave &amp; Guy Brewer Blvd is undergoing two  projects: sewer project &amp; reconstruction,Non-Relevant
Tue May 12 15:19:35 +0000 2015  Thx for letting us know about the menu issue. In the meantime pls report pothole location to  via DM or their free app,Non-Relevant
Tue May 12 14:13:35 +0000 2015  Have you contacted your local BID or community board? More info:,Non-Relevant
Tue May 12 13:26:42 +0000 2015  Penn Station is maintained by  providing services for    &amp;  ,Non-Relevant
Tue May 12 13:20:39 +0000 2015  Hi there! Construction is anticipated to begin July/Aug. More details on  FB project page,Non-Relevant
Tue May 12 11:30:22 +0000 2015 UPDATE: Fog has lifted we are now on regular schedule.  ,Non-Relevant
"Tue May 12 10:38:06 +0000 2015 Due to fog, the  will be operating on a modified schedule during this mornings rush hour.",Non-Relevant
Mon May 11 21:30:37 +0000 2015  workshop for  /  5/13 at 6:30pm at Old Mill Yacht Club   ,Non-Relevant
Mon May 11 20:30:15 +0000 2015  33-hour Mn-bd closure Sat 5/16 12:01am to Sun 5/17 9am. Consider taking Manhattan/Williamsburg Bridge,Relevant
"Mon May 11 19:45:39 +0000 2015  single lane closures weeknights in North Tube from  Drive to 9A. Begins 10pm TONIGHT 5/11, thru 5am 5/22.",Relevant
Mon May 11 18:53:01 +0000 2015 Thx to all who attended Saturday's  workshop! Photos are up on our  ,Non-Relevant
"Mon May 11 17:27:37 +0000 2015  Please call 511 to report this location to NYState DOT, thx",Non-Relevant
"Mon May 11 17:26:30 +0000 2015  Pls contact local NYPD precinct regarding parking enforcement, or Qns Boro Comm w/ transpo suggestions",Non-Relevant
Mon May 11 17:07:52 +0000 2015   Please consider following  for updates. They tweeted on 5/10 at 12:54am about FDR:,Non-Relevant
"Mon May 11 17:02:56 +0000 2015  over  lane closures Tu/Th PM btn 5/12-5/22, 11pm-5am",Relevant
"Mon May 11 17:00:07 +0000 2015  Please report pothole location to  via DM, free app or online",Non-Relevant
"Mon May 11 16:45:25 +0000 2015   Please report location to  so they may contact appropriate utility, thx.",Non-Relevant
Mon May 11 14:15:51 +0000 2015  over  closure 5/12 1AM to 4AM. Repairs will also happen to E128th St Pedestrian Bridge,Relevant
Sun May 10 14:30:52 +0000 2015  NYC!  with matching mother/daughter (or son)  ,Non-Relevant
Sat May 09 13:30:30 +0000 2015 Happy  Day! Hope to see you riding with  for this awesome event!  ,Non-Relevant
"Fri May 08 23:32:19 +0000 2015  Our distracted driving PSA launched today  the 2nd ""Your Choices Matter"" piece for",Non-Relevant
Fri May 08 22:12:44 +0000 2015 The new granite (south of  is now open for riders! Happy cycling!,Non-Relevant
Fri May 08 20:53:34 +0000 2015  We're not sure which road you are on. If you're on 95 please contact  or if you're on a NYC street contact  via DM,Non-Relevant
"Fri May 08 19:40:25 +0000 2015  repairs resume on Saturday. Full bridge closure tomorrow, 5/9. Use Metropolitan Ave as alt.",Relevant
Fri May 08 19:10:33 +0000 2015  over  overnight lane closure begins 5/11. Schedule attached,Relevant
Fri May 08 19:10:05 +0000 2015  2: NEXT WEEKEND overnight AND daytime  Manhattan-bound closures 5/16 12:01am to 5/17 5am,Relevant
Fri May 08 19:08:16 +0000 2015  1: Overnight detours to  Manhattan-bound traffic tonight. No closure Sat/Sun PM. Learn more:,Relevant
Fri May 08 19:01:51 +0000 2015   navigation channel closed weekdays thru 5/22 to install steel girders over channel.,Relevant
Fri May 08 18:56:14 +0000 2015   to be redesigned into a new public space! Join  SAT to see proposed plans,Non-Relevant
Fri May 08 18:47:50 +0000 2015 Improve biking in  at  workshop Sat 2-5pm    ,Non-Relevant
Fri May 08 17:54:35 +0000 2015 Hey  Tomorrow we'll be fitting &amp; giving away   at   ,Non-Relevant
"Fri May 08 16:20:24 +0000 2015 While  makes over the 191st Street Tunnel, please note that it will be closed Fri 5/15 10:30pm until Tues 5/19 at 5am.",Relevant
Fri May 08 16:19:28 +0000 2015  in the  today! Please support  in our city!   ,Non-Relevant
